trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.9, 'e': 0.28880602788595566}",25,13,1.7058114943978584,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
139,False,"{'a': 0.9, 'e': 0.28621843526798951}",25,2,30.935362819786203,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.9, 'e': 0.2836540264997704}",20,11,11.806358620639262,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.9, 'e': 0.28111259386278603}",20,2,16.11554357360299,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.9, 'e': 0.27859393149960332}",20,13,-32.972423252503305,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
143,False,"{'a': 0.9, 'e': 0.27609783539719362}",20,6,1.1054234387082786,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.9, 'e': 0.2736241033704081}",20,3,2.461005115594655,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
145,False,"{'a': 0.9, 'e': 0.27117253504559991}",20,0,11.40467277911535,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
146,False,"{'a': 0.9, 'e': 0.26874293184439441}",25,19,11.058277392164445,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.9, 'e': 0.26633509696760388}",20,10,7.725536937067404,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.9, 'e': 0.26394883537928687}",30,14,-21.146243066026173,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
149,False,"{'a': 0.9, 'e': 0.26158395379094995}",35,17,-1.1124670360211866,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.9, 'e': 0.25924026064589156}",20,13,14.601976977764632,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.9, 'e': 0.25691756610368544}",25,12,3.771131560278374,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.9, 'e': 0.25461568202480378}",25,14,21.16426426988563,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.9, 'e': 0.25233442195537764}",20,2,27.00243840687757,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.9, 'e': 0.25007360111209415}",20,13,11.037041334272214,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.9, 'e': 0.24783303636722881}",20,14,12.629002836962972,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.9, 'e': 0.24561254623381226}",20,5,11.1735923120245,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.9, 'e': 0.24341195085092973}",25,8,-6.064882114271769,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.9, 'e': 0.24123107196915192}",25,13,-9.898374576411328,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.9, 'e': 0.2390697329360971}",25,17,13.539740468376852,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.9, 'e': 0.23692775868212176}",25,11,16.390546972536725,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.9, 'e': 0.23480497570614037}",20,13,11.503089398407607,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.9, 'e': 0.23270121206157107}",25,17,11.221890893323597,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.9, 'e': 0.23061629734240854}",25,3,-35.43242208655398,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 0}",1
